Status,Sample File,Sample Name,Comments,Analysis Method,Panel,Size Standard,Run Name,REF,SQI,SFNF,SQ,UD1,UD2,UD3,Plate,Lane, Well,Marker,Allele 1,Allele 2,Allele 3,Allele 4,Allele 5,Allele 6,Size 1,Size 2,Size 3,Size 4,Size 5,Size 6
TRUE,PI_590184-17_GD_A01.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,001_,A01,001_,Apple2019_Box1-4_PM1,15,A01,,,,,,,,,,,,,
TRUE,PI_590184-17_GD_B04.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,297_,B02,009_,Apple2019_Box1-4_PM1,16,B04,,,,,,,,,,,,,
TRUE,PI_590185-12_Jon_C01.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,002_,A01,002_,Apple2019_Box1-4_PM1,13,C01,,,,,,,,,,,,,
TRUE,PI_590184-17_GD_C02.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,098_,A02,002_,Apple2019_Box1-4_PM1,13,C02,,,,,,,,,,,,,
TRUE,PI_590185-12_Jon_D04.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,298_,B02,010_,Apple2019_Box1-4_PM1,14,D04,,,,,,,,,,,,,
TRUE,PI_247021-04_Coxs_E01.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,003_,A01,003_,Apple2019_Box1-4_PM1,11,E01,,,,,,,,,,,,,
TRUE,PI_590185-12_Jon_E02.fsa,PI_590185-12_Jon,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,099_,A02,003_,Apple2019_Box1-4_PM1,11,E02,,,,,,,,,,,,,
TRUE,PI_590184-17_GD_F01.fsa,PI_590184-17_GD,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,195_,B01,003_,Apple2019_Box1-4_PM1,11,F01,,,,,,,,,,,,,
TRUE,PI_247021-04_Coxs_F04.fsa,PI_247021-04_Coxs,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.81,299_,B02,011_,Apple2019_Box1-4_PM1,12,F04,,,,,,,,,,,,,
TRUE,PI_588850-11_RBL_G01.fsa,PI_588850-11_RBL,None,CU_2019,PM_1_GD12_2019,GS500(-250)LIZ,Apple2019_Box1-4_PM1_2019-06-05_2,FALSE,FALSE,0,0.8099,004_,A01,004_,Apple2019_Box1-4_PM1,9,G01,,,,,,,,,,,,,
